tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
0,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,"grenade at (30, 37)",0.9983,1.0584,1.0006,-0.5773,1.4432,0.0000,0.0000,0.0009
11,,0.9966,1.0275,1.0009,-1.1957,1.0798,0.0000,0.0000,0.0009
12,,0.9948,1.0254,1.0012,-0.7081,1.1697,0.0000,0.0000,0.0009
13,,0.9938,1.0219,1.0014,-0.5636,0.7690,0.0000,0.0000,0.0009
14,,0.9929,1.0160,1.0017,-1.0164,0.6024,0.0000,0.0000,0.0009
15,,0.9933,1.0212,1.0020,-0.4927,0.7243,0.0000,0.0000,0.0009
16,,0.9937,1.0163,1.0023,-0.4931,1.0310,0.0000,0.0000,0.0009
17,,0.9944,1.0137,1.0025,-0.4578,0.4999,0.0000,0.0000,0.0009
18,,0.9953,1.0164,1.0028,-0.3159,0.4736,0.0000,0.0000,0.0009
19,,0.9954,1.0128,1.0031,-0.2575,0.3670,0.0000,0.0000,0.0009
20,,0.9966,1.0138,1.0033,-0.2265,0.4419,0.0000,0.0000,0.0009
21,,0.9974,1.0140,1.0036,-0.2293,0.2434,0.0000,0.0000,0.0009
22,,0.9983,1.0118,1.0039,-0.2274,0.2762,0.0000,0.0000,0.0009
23,,0.9994,1.0132,1.0041,-0.1836,0.3281,0.0000,0.0000,0.0009
24,,0.9997,1.0108,1.0044,-0.1529,0.4085,0.0000,0.0000,0.0009
25,,1.0002,1.0116,1.0047,-0.0653,0.2201,0.0000,0.0000,0.0009
26,,1.0003,1.0117,1.0049,-0.1108,0.1573,0.0000,0.0000,0.0009
27,,1.0005,1.0119,1.0052,-0.0484,0.2280,0.0000,0.0000,0.0009
28,,1.0006,1.0118,1.0055,-0.0814,0.1550,0.0000,0.0000,0.0009
29,,1.0008,1.0123,1.0057,-0.0668,0.1420,0.0000,0.0000,0.0009
30,,1.0007,1.0123,1.0060,-0.0337,0.1160,0.0000,0.0000,0.0009
31,,1.0011,1.0126,1.0063,-0.0115,0.1364,0.0000,0.0000,0.0009
32,,1.0012,1.0133,1.0065,-0.0185,0.1134,0.0000,0.0000,0.0009
33,,1.0014,1.0132,1.0068,-0.0088,0.1076,0.0000,0.0000,0.0009
34,,1.0014,1.0138,1.0071,-0.0022,0.0971,0.0000,0.0000,0.0009
35,,1.0018,1.0137,1.0074,0.0000,0.0997,0.0000,0.0000,0.0009
36,,1.0022,1.0138,1.0076,0.0000,0.0807,0.0000,0.0000,0.0009
37,,1.0026,1.0142,1.0079,0.0000,0.0790,0.0000,0.0000,0.0009
38,,1.0028,1.0141,1.0082,0.0000,0.0835,0.0000,0.0000,0.0009
39,,1.0031,1.0144,1.0084,0.0000,0.0782,0.0000,0.0000,0.0009
40,,1.0035,1.0146,1.0087,0.0000,0.0725,0.0000,0.0000,0.0009
41,,1.0038,1.0147,1.0090,0.0000,0.0680,0.0000,0.0000,0.0009
42,,1.0042,1.0149,1.0092,0.0000,0.0659,0.0000,0.0000,0.0009
43,,1.0045,1.0151,1.0095,0.0000,0.0640,0.0000,0.0000,0.0009
44,,1.0048,1.0153,1.0098,0.0000,0.0642,0.0000,0.0000,0.0009
45,,1.0050,1.0156,1.0100,0.0000,0.0669,0.0000,0.0000,0.0009
46,,1.0053,1.0158,1.0103,0.0000,0.0580,0.0000,0.0000,0.0009
47,,1.0056,1.0160,1.0106,0.0000,0.0575,0.0000,0.0000,0.0009
48,,1.0058,1.0163,1.0108,0.0000,0.0564,0.0000,0.0000,0.0009
49,,1.0061,1.0165,1.0111,0.0000,0.0577,0.0000,0.0000,0.0009
50,,1.0064,1.0167,1.0114,0.0000,0.0557,0.0000,0.0000,0.0009
51,,1.0066,1.0170,1.0116,0.0000,0.0571,0.0000,0.0000,0.0009
52,,1.0069,1.0172,1.0119,0.0000,0.0546,0.0000,0.0000,0.0009
53,,1.0072,1.0175,1.0122,0.0000,0.0532,0.0000,0.0000,0.0009
54,,1.0074,1.0177,1.0125,0.0000,0.0516,0.0000,0.0000,0.0009
55,,1.0077,1.0180,1.0127,0.0000,0.0516,0.0000,0.0000,0.0009
56,,1.0080,1.0182,1.0130,0.0000,0.0517,0.0000,0.0000,0.0009
57,,1.0082,1.0185,1.0133,0.0000,0.0509,0.0000,0.0000,0.0009
58,,1.0085,1.0187,1.0135,0.0000,0.0511,0.0000,0.0000,0.0009
59,,1.0088,1.0190,1.0138,0.0000,0.0506,0.0000,0.0000,0.0009
60,"grenade at (90, 37)",1.0074,1.0679,1.0147,-0.5291,1.7163,0.0000,0.0000,0.0009
61,,1.0111,1.0381,1.0152,-1.0410,1.1352,0.0000,0.0000,0.0009
62,,1.0103,1.0352,1.0158,-0.6039,1.2878,0.0000,0.0000,0.0009
63,,1.0132,1.0320,1.0163,-0.6841,0.8453,0.0000,0.0000,0.0009
64,,1.0126,1.0270,1.0169,-0.7842,0.7136,0.0000,0.0000,0.0009
65,,1.0134,1.0322,1.0174,-0.4848,0.9743,0.0000,0.0000,0.0009
66,,1.0139,1.0287,1.0179,-0.4152,1.0726,0.0000,0.0000,0.0009
67,,1.0147,1.0251,1.0185,-0.3350,0.5900,0.0000,0.0000,0.0009
68,,1.0156,1.0281,1.0190,-0.2430,0.5028,0.0000,0.0000,0.0009
69,,1.0164,1.0245,1.0195,-0.2242,0.4868,0.0000,0.0000,0.0009
70,,1.0183,1.0257,1.0201,-0.3117,0.5011,0.0000,0.0000,0.0009
71,,1.0171,1.0264,1.0206,-0.2003,0.3002,0.0000,0.0000,0.0009
72,,1.0201,1.0247,1.0212,-0.1884,0.3356,0.0000,0.0000,0.0009
73,,1.0198,1.0267,1.0217,-0.1278,0.3160,0.0000,0.0000,0.0009
74,,1.0200,1.0240,1.0222,-0.1060,0.2444,0.0000,0.0000,0.0009
75,,1.0211,1.0253,1.0228,-0.0923,0.2494,0.0000,0.0000,0.0009
76,,1.0214,1.0255,1.0233,-0.0280,0.2495,0.0000,0.0000,0.0009
77,,1.0222,1.0261,1.0238,-0.0498,0.2440,0.0000,0.0000,0.0009
78,,1.0229,1.0266,1.0244,0.0000,0.1820,0.0000,0.0000,0.0009
79,,1.0233,1.0272,1.0249,-0.0134,0.1834,0.0000,0.0000,0.0009
80,,1.0246,1.0278,1.0254,0.0000,0.1602,0.0000,0.0000,0.0009
81,,1.0250,1.0278,1.0260,0.0000,0.1815,0.0000,0.0000,0.0009
